118	US	2836	23464	544
999	US	119129	72001	693
677	FI	2394	27893	560
496	US	119993	44691	510
98	US	116153	16686	574
324	US	223		
61	MX	672	8837	501
1172	US	2254	80634	751
337	US	223		
387	US	7653	60016	602
815	US	7167	10118	501
464	US	5453	83401	758
311	US	5001	54449	705
584	US	116581	23139	556
752	TR	223		
371	US	7126	23434	544
34	MX	3843	6340	533
330	US	1130	21044	512
835	US	33011	78244	641
779	US	3628	22902	584
154	US	118507	8007	504
30	US	9811	30101	524
971	US	16106	29506	570
442	US	271335	81403	773
550	US	795	47715	649
519	US	2170	92673	803
572	US	5682	48236	505
276	RO	2688	94539	807
911	US	3540	63123	609
239	US	223		
470	US	7838	95991	862
226	US	12131	10473	501
22	US	692	10021	501
667	US	245908	85641	789
370	CA	23352	32259	561
766	MX	137348	18067	504
859	US	120491	27501	560
949	CA	134306	47460	527
347	US	121746	10530	501
141	AT	116158	7029	501
873	US	10681	64063	616
678	US	5304	23234	556
147	ES	7653	60016	602
66	US	52443	55379	613
335	US	160535	72635	619
146	SK	3201	22042	511
780	US	245840	5855	523
692	US	11679		
192	US	2827	15601	508
191	US	1252	19107	504
924	US	29693	32738	534
484	US	19067	32779	534
973	US	6545	21502	511
652	US	15841	84041	770
738	BE	8383	55901	611
669	AT	3674	22901	584
762	US	30403	32208	561
783	US	223		
662	US	245880	37110	659
645	US	40763	95021	807
198	BR	4751		
308	US	118413	11377	501
143	BE	223		
871	US	223		
735	LU	137004	13407	526
166	CA	223		
966	US	6983	38017	640
967	US	10413	77087	618
956	US	6349	28110	517
477	US	3559	90014	803
421	US	223		
651	US	2144	97701	821
774	US	115677	39350	711
404	LU	118480	19934	504
301	US	4751		
509	US	7167	10118	501
757	US	54973	7083	501
80	SK	5072	48310	505
993	US	120759	78009	641
565	US	4433	20705	511
631	US	1927	95128	807
219	US	5968	17701	577
879	US	9427	28117	517
617	US	223		
260	US	632	10016	501
229	US	5998	20723	511
552	US	28682	2135	506
963	US	1843	46825	509
190	US	21947	81504	773
670	NL	117536	19006	504
654	US	15383	22032	511
394	US	4920	23831	556
538	NL	12058	1832	506
458	US	10180	15701	508
755	US	629	78664	635
559	US	121026	27932	544
589	US	116676	13736	502
1000	US	9269		
253	US	2704	22304	511
254	US	7716	11355	501
782	US	223		
658	MX	115143	7747	501
512	US	1459	77002	618
211	US	7862	48124	505
938	US	3540	63123	609
18	US	223		
329	US	4517	36830	522
990	US	19020	34120	571
366	US	223		
569	US	7852	8205	504
771	US	726	13214	555
526	US	115148	54467	705
711	US	11159	12180	532
694	US	223		
138	US	13385	2476	506
665	US	5482	19130	504
561	US	23565	33101	528
243	US	134077	3452	506
980	US	5350	39401	710
960	US	4751		
267	US	4072	60025	602
265	US	6834	85283	753
749	US	119222	65656	619
881	US	4751		
954	US	10788	78572	636
363	US	10953	10467	501
884	US	6840	75032	623
950	US	1139	45342	542
114	MX	3027	43220	535
933	US	117505	17857	577
877	US	123323	78676	635
705	US	2351	20878	511
525	US	1139	45342	542
35	US	3559	90014	803
910	US	10777	71270	628
466	US	223		
635	US	120116	60073	602
342	US	664	20904	511
983	US	6074	55435	613
680	US	7385	23228	556
768	BR	6049	81401	773
242	US	4751		
579	MX	2688	94539	807
863	US	29499	77088	618
981	US	12230	10452	501
612	US	4124	49660	540
373	US	56390	74063	671
304	MX	137718	12197	526
281	FI	223		
1	US	223		
758	US	31402	78259	641
502	US	7086	20874	511
649	US	127264	28086	517
518	US	223		
580	US	790	90017	803
10	US	2703	94043	807
917	US	115078	1754	506
237	US	1168	37214	659
16	US	1596	75080	623
225	MX	1499	77386	618
245	US	223		
968	US	137809	47545	529
28	US	117321	49031	588
842	US	782	31088	503
542	SK	223		
152	US	223		
346	US	3848	6708	533
593	US	26383	52403	637
101	US	223		
234	US	11357	31204	503
763	US	680	11550	501
207	US	3678	65203	604
685	US	5799	33428	548
420	US	2764	38118	640
284	US	123159	13820	526
548	US	54912	27253	518
109	US	1998	92780	803
196	MX	223		
592	US	55207	55318	613
27	US	9498	76010	623
517	US	223		
510	US	116471	60441	602
770	US	223		
622	US	223		
499	US	223		
962	US	223		
541	CZ	223		
87	MX	223		
792	US	37291	80247	751
697	US	1678	85003	753
